"","V1","V2"
"282",134.454567438251,120.527672320262
"283",121.300436731549,110.114903979579
"284",108.146306024848,99.9043581317183
"285",99.6303639777221,92.5656348655196
"286",91.114421930596,85.367310069771
"287",84.8769580187006,79.8752521251517
"288",78.6394941068052,74.4991083364193
"289",87.782755053478,95.8594601856787
"290",91.7688059329825,97.3975368376694
"291",95.7548568124869,99.121840355317
"292",100.294240941221,101.312375259127
"293",104.833625069954,103.726683713211
"294",117.103317345467,111.332062368469
"295",129.373009620979,119.198674003233
"296",122.70550943025,113.666891484265
"297",116.03800923952,108.235023604738
"298",115.644476588764,107.064059461794
"299",115.250943938008,105.975891397275
"300",105.09429520628,97.6926903573074
"301",94.9376464745516,89.5612646849527
"302",88.4325196118647,83.7133890178747
"303",81.9273927491779,77.9884007504987
"304",74.7074650616966,81.9311107861562
"305",80.1428637372681,85.3987571542804
"306",85.5782624128396,89.1339700559417
"307",100.85014674014,99.4376679952124
"308",116.122031067441,110.050959054118
"309",107.441233711212,102.789746812345
"310",98.7604363549825,95.6729770725277
"311",97.4038783963743,93.6335043183212
"312",96.0473204377661,91.6674861811951
"313",88.8881536810106,85.4658408518185
